ProductKey,product Name,Product Sub Category,Product Category,Product Color,Product size,ProductLine,Product Model Name,Product Description,status
1,Adjustable Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
2,Bearing Ball,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
3,BB Ball Bearing,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
4,Headset Ball Bearings,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
5,Blade,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
6,LL Crankarm,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
7,ML Crankarm,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
8,HL Crankarm,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
9,Chainring Bolts,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
10,Chainring Nut,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
11,Chainring,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
12,Crown Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
13,Chain Stays,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
14,Decal 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
15,Decal 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
16,Down Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
17,Mountain End Caps,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
18,Road End Caps,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
19,Touring End Caps,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
20,Fork End,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
21,Freewheel,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
22,Flat Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
23,Flat Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
24,Flat Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
25,Flat Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
26,Flat Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
27,Flat Washer 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
28,Flat Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
29,Flat Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
30,Flat Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
31,Fork Crown,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
32,Front Derailleur Cage,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
33,Front Derailleur Linkage,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
34,Guide Pulley,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
35,LL Grip Tape,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
36,ML Grip Tape,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
37,HL Grip Tape,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
38,Thin-Jam Hex Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
39,Thin-Jam Hex Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
40,Thin-Jam Hex Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
41,Thin-Jam Hex Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
42,Thin-Jam Hex Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
43,Thin-Jam Hex Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
44,Thin-Jam Hex Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
45,Thin-Jam Hex Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
46,Thin-Jam Hex Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
47,Thin-Jam Hex Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
48,Thin-Jam Hex Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
49,Thin-Jam Hex Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
50,Thin-Jam Hex Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
51,Thin-Jam Hex Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
52,Thin-Jam Hex Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
53,Thin-Jam Hex Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
54,Hex Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
55,Hex Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
56,Hex Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
57,Hex Nut 17,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
58,Hex Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
59,Hex Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
60,Hex Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
61,Hex Nut 22,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
62,Hex Nut 23,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
63,Hex Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
64,Hex Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
65,Hex Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
66,Hex Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
67,Hex Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
68,Hex Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
69,Hex Nut 20,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
